,FPTS,Position,Price,Value
Tony Jones Jr.,17.1,rb,0.28,0.9500000000000001
Austin Walter,17.0,rb,0.28,0.9444444444444444
Jonathan Williams,16.7,rb,0.28,0.9277777777777777
C.J. Ham,15.9,rb,0.26,0.8833333333333333
Qadree Ollison,15.7,rb,0.26,0.8722222222222222
Patrick Taylor Jr.,15.2,rb,0.25,0.8444444444444444
Larry Rountree III,14.6,rb,0.24,0.8111111111111111
J.J. Taylor,14.5,rb,0.24,0.8055555555555556
Godwin Igwebuike,14.0,rb,0.24,0.7777777777777778
Ty Montgomery II,13.9,rb,0.23,0.7722222222222223
Patrick Ricard,12.7,rb,0.21,0.7055555555555555
Wayne Gallman Jr.,12.5,rb,0.21,0.6944444444444444
Joshua Kelley,12.0,rb,0.2,0.6666666666666666
Michael Burton,11.7,rb,0.2,0.6499999999999999
Jalen Richard,11.2,rb,0.19,0.6222222222222222
Benny Snell Jr.,11.1,rb,0.19,0.6166666666666667
Marlon Mack,10.9,rb,0.19,0.6055555555555556
Ryquell Armstead,9.6,rb,0.17,0.5333333333333333
Deon Jackson,9.1,rb,0.16,0.5055555555555555
Andy Janovich,8.9,rb,0.16,0.49444444444444446
Keith Smith,8.7,rb,0.15,0.4833333333333333
Alex Armah Jr.,8.2,rb,0.15,0.4555555555555555
Johnny Stanton IV,7.2,rb,0.13,0.4
Jonathan Ward,6.7,rb,0.12,0.37222222222222223
Ito Smith,6.4,rb,0.12,0.35555555555555557
Mike Boone,5.7,rb,0.11,0.31666666666666665
Trayveon Williams,5.5,rb,0.1,0.3055555555555556
Jason Huntley,5.1,rb,0.1,0.2833333333333333
Rodney Smith,4.8,rb,0.09,0.26666666666666666
Wendell Smallwood,4.7,rb,0.09,0.2611111111111111
Kalen Ballage,4.4,rb,0.09,0.24444444444444446
Jakob Johnson,4.3,rb,0.09,0.23888888888888887
La'Mical Perine,3.1,rb,0.07,0.17222222222222222
Kylin Hill,2.9,rb,0.06,0.1611111111111111
Dwayne Washington,2.8,rb,0.06,0.15555555555555556
Reggie Gilliam,2.6,rb,0.06,0.14444444444444446
Gabe Nabers,2.5,rb,0.06,0.1388888888888889
Jaylen Samuels,2.3,rb,0.05,0.12777777777777777
Scottie Phillips,2.2,rb,0.05,0.12222222222222223
Patrick Laird,2.1,rb,0.05,0.11666666666666667
Nick Bawden,2.0,rb,0.05,0.1111111111111111
Darrynton Evans,1.8,rb,0.05,0.1
Derek Watt,1.6,rb,0.04,0.08888888888888889
Trey Ragas,1.5,rb,0.04,0.08333333333333333
Anthony McFarland Jr.,1.4,rb,0.04,0.07777777777777778
John Kelly Jr.,1.3,rb,0.04,0.07222222222222223
Jacques Patrick,1.2,rb,0.04,0.06666666666666667
Buddy Howell,1.1,rb,0.04,0.061111111111111116
Gary Brightwell,1.0,rb,0.03,0.05555555555555555
Ryan Nall,0.8,rb,0.03,0.044444444444444446
Damarea Crockett,0.7,rb,0.03,0.03888888888888889
Jake Funk,0.5,rb,0.03,0.027777777777777776
Devine Ozigbo,0.4,rb,0.02,0.022222222222222223
Nathan Cottrell,0.3,rb,0.02,0.016666666666666666
Andrew Beck,0.0,rb,0.02,0.0
Nate McCrary,-0.1,rb,0.02,-0.005555555555555556
Khari Blasingame,-1.0,rb,0.0,-0.05555555555555555
Trenton Cannon,-1.6,rb,0.0,-0.08888888888888889
Cooper Kupp,294.5,wr,5.33,16.36111111111111
Deebo Samuel,262.0,wr,4.74,14.555555555555555
Ja'Marr Chase,223.6,wr,4.04,12.422222222222222
Justin Jefferson,222.4,wr,4.02,12.355555555555556
Davante Adams,221.3,wr,4.0,12.294444444444444
Mike Evans,188.5,wr,3.41,10.472222222222221
Tyreek Hill,185.5,wr,3.35,10.305555555555555
Stefon Diggs,182.5,wr,3.3,10.13888888888889
Mike Williams,170.6,wr,3.08,9.477777777777778
DK Metcalf,169.3,wr,3.06,9.405555555555557
Tyler Lockett,168.4,wr,3.04,9.355555555555556
Diontae Johnson,167.4,wr,3.02,9.3
Hunter Renfrow,156.1,wr,2.82,8.672222222222222
CeeDee Lamb,153.8,wr,2.78,8.544444444444444
Keenan Allen,151.8,wr,2.74,8.433333333333334
Michael Pittman Jr.,150.6,wr,2.72,8.366666666666667
Tee Higgins,145.1,wr,2.62,8.06111111111111
DJ Moore,144.5,wr,2.61,8.027777777777779
Chris Godwin,144.4,wr,2.61,8.022222222222222
Jaylen Waddle,141.8,wr,2.56,7.877777777777778
Darnell Mooney,138.7,wr,2.5,7.705555555555555
Amon-Ra St. Brown,137.3,wr,2.48,7.627777777777778
Terry McLaurin,136.5,wr,2.46,7.583333333333333
Marquise Brown,135.3,wr,2.44,7.5166666666666675
Amari Cooper,134.5,wr,2.43,7.472222222222222
Adam Thielen,132.8,wr,2.39,7.377777777777778
Christian Kirk,130.6,wr,2.35,7.2555555555555555
Kendrick Bourne,125.5,wr,2.26,6.972222222222222
DeVonta Smith,121.6,wr,2.19,6.7555555555555555
Van Jefferson,118.2,wr,2.13,6.566666666666666
A.J. Brown,117.9,wr,2.12,6.550000000000001
Tyler Boyd,116.8,wr,2.1,6.488888888888889
Brandon Aiyuk,114.3,wr,2.06,6.35
K.J. Osborn,108.5,wr,1.95,6.027777777777778
Chase Claypool,107.6,wr,1.94,5.977777777777778
Marvin Jones Jr.,107.2,wr,1.93,5.955555555555556
Marquez Callaway,105.8,wr,1.9,5.877777777777777
DeAndre Hopkins,105.2,wr,1.89,5.844444444444445
Tim Patrick,103.4,wr,1.86,5.7444444444444445
Jakobi Meyers,103.3,wr,1.86,5.738888888888889
A.J. Green,102.8,wr,1.85,5.711111111111111
Allen Lazard,102.5,wr,1.84,5.694444444444445
Russell Gage,97.0,wr,1.74,5.388888888888889
Elijah Moore,95.2,wr,1.71,5.288888888888889
Courtland Sutton,92.2,wr,1.66,5.122222222222223
Gabe Davis,90.9,wr,1.63,5.050000000000001
Emmanuel Sanders,89.7,wr,1.61,4.983333333333333
Robbie Chosen,85.5,wr,1.54,4.75
Odell Beckham Jr.,85.1,wr,1.53,4.727777777777778
Byron Pringle,84.8,wr,1.52,4.711111111111111
Kalif Raymond,84.4,wr,1.52,4.688888888888889
Mecole Hardman Jr.,81.9,wr,1.47,4.550000000000001
Jarvis Landry,81.0,wr,1.45,4.5
Antonio Brown,79.1,wr,1.42,4.394444444444444
Cole Beasley,77.3,wr,1.39,4.294444444444444
Deonte Harty,77.1,wr,1.38,4.283333333333333
Donovan Peoples-Jones,75.7,wr,1.36,4.205555555555556
Braxton Berrios,75.1,wr,1.35,4.172222222222222
Quez Watkins,73.0,wr,1.31,4.055555555555555
Corey Davis,71.2,wr,1.28,3.9555555555555557
Nick Westbrook-Ikhine,69.6,wr,1.25,3.8666666666666663
Nelson Agholor,66.4,wr,1.19,3.688888888888889
Jalen Guyton,66.2,wr,1.19,3.677777777777778
Randall Cobb,65.6,wr,1.17,3.644444444444444
Laviska Shenault Jr.,64.0,wr,1.15,3.5555555555555554
DeVante Parker,63.5,wr,1.14,3.5277777777777777
DeAndre Carter,62.5,wr,1.12,3.4722222222222223
Freddie Swain,61.5,wr,1.1,3.4166666666666665
Marquez Valdes-Scantling,61.0,wr,1.09,3.388888888888889
Henry Ruggs III,60.5,wr,1.08,3.361111111111111
Joshua Palmer,59.9,wr,1.07,3.3277777777777775
Zay Jones,58.9,wr,1.05,3.272222222222222
Olamide Zaccheaus,58.8,wr,1.05,3.2666666666666666
Jamison Crowder,58.7,wr,1.05,3.261111111111111
Jauan Jennings,58.2,wr,1.04,3.2333333333333334
Rashod Bateman,57.5,wr,1.03,3.1944444444444446
Michael Gallup,56.5,wr,1.01,3.138888888888889
DeSean Jackson,55.8,wr,1.0,3.0999999999999996
Tre'Quan Smith,55.7,wr,0.99,3.0944444444444446
Rondale Moore,55.1,wr,0.98,3.0611111111111113
Kenny Golladay,52.1,wr,0.93,2.8944444444444444
Jamal Agnew,52.0,wr,0.93,2.888888888888889
Josh Reynolds,51.6,wr,0.92,2.8666666666666667
T.Y. Hilton,51.1,wr,0.91,2.838888888888889
Keelan Cole Sr.,50.9,wr,0.91,2.8277777777777775
Nico Collins,50.6,wr,0.9,2.8111111111111113
Julio Jones,49.4,wr,0.88,2.7444444444444445
Allen Robinson II,49.0,wr,0.87,2.7222222222222223
Jerry Jeudy,47.0,wr,0.84,2.611111111111111
Mack Hollins,46.3,wr,0.82,2.572222222222222
Jalen Reagor,45.1,wr,0.8,2.5055555555555555
Danny Amendola,44.8,wr,0.8,2.488888888888889
Demarcus Robinson,44.4,wr,0.79,2.466666666666667
Devin Duvernay,44.2,wr,0.79,2.4555555555555557
Sammy Watkins,43.4,wr,0.77,2.411111111111111
Darius Slayton,42.6,wr,0.76,2.3666666666666667
James Washington,41.8,wr,0.74,2.322222222222222
Sterling Shepard,41.7,wr,0.74,2.316666666666667
Calvin Ridley,40.1,wr,0.71,2.227777777777778
Damiere Byrd,38.9,wr,0.69,2.161111111111111
Antoine Wesley,38.8,wr,0.69,2.1555555555555554
Adam Humphries,38.3,wr,0.68,2.1277777777777778
Marquise Goodwin,37.2,wr,0.66,2.066666666666667
Lil'Jordan Humphrey,36.9,wr,0.65,2.05
Tyler Johnson,36.0,wr,0.64,2.0
Chester Rogers,35.0,wr,0.62,1.9444444444444444
Chris Moore,34.7,wr,0.61,1.927777777777778
Cyril Grayson Jr.,34.6,wr,0.61,1.9222222222222223
Quintez Cephus,34.4,wr,0.61,1.911111111111111
