Player,FPTS,FPTS/G,ROST
Kyle Pitts,2.5,2.5,81.5%
Darren Waller,2.4,2.4,62.7%
George Kittle,2.4,2.4,99.7%
Trey McBride,2.4,2.4,80.4%
Irv Smith Jr.,2.3,2.3,3.4%
Trevon Wesco,2.3,2.3,0.0%
Daniel Bellinger,2.3,2.3,0.8%
Mike Gesicki,2.3,2.3,3.3%
Parker Hesse,2.2,2.2,0.0%
Ko Kieft,1.9,1.9,0.0%
John Bates,1.9,1.9,0.1%
Logan Thomas,1.9,1.9,53.5%
Tanner Hudson,1.8,1.8,4.3%
Mitchell Wilcox,1.8,1.8,0.0%
Harrison Bryant,1.8,1.8,0.7%
Cole Kmet,1.6,1.6,82.2%
Evan Engram,1.6,1.6,94.9%
Mark Andrews,1.5,1.5,57.4%
Hunter Henry,1.3,1.3,20.1%
Kendall Blanton,0.7,0.7,0.0%
Jake Ferguson,0.7,0.7,87.0%
Ian Thomas,0.6,0.6,0.0%
Tre' McKitty,0.4,0.4,0.0%
Austin Hooper,0.4,0.4,0.3%
Zach Gentry,0.2,0.2,0.0%
Andrew Beck,0.0,0.0,0.0%
Ross Dwelley,0.0,0.0,0.1%
Charlie Woerner,0.0,0.0,0.0%
Giovanni Ricci,0.0,0.0,0.0%
Tyler Davis,0.0,0.0,0.0%
Stephen Sullivan,0.0,0.0,0.1%
Devin Asiasi,0.0,0.0,0.0%
Josiah Deguara,0.0,0.0,0.1%
Quintin Morris,0.0,0.0,0.0%
Peyton Hendershot,0.0,0.0,0.1%
Austin Allen,0.0,0.0,0.0%
Brock Wright,0.0,0.0,0.1%
Durham Smythe,0.0,0.0,0.5%
Mason Schreck,0.0,0.0,0.0%
Stephen Anderson,0.0,0.0,0.0%
J.P. Holtz,0.0,0.0,0.0%
Dalton Schultz,0.0,0.0,80.4%
Johnny Mundt,0.0,0.0,0.0%
Chris Manhertz,0.0,0.0,0.0%
C.J. Uzomah,0.0,0.0,0.1%
San Francisco 49ers,21.0,21.0,94.9%
New York Giants,16.0,16.0,6.3%
Philadelphia Eagles,15.0,15.0,62.1%
Arizona Cardinals,12.0,12.0,1.0%
New York Jets,12.0,12.0,72.7%
New England Patriots,11.0,11.0,29.1%
Las Vegas Raiders,11.0,11.0,9.8%
Tennessee Titans,10.0,10.0,8.3%
Dallas Cowboys,10.0,10.0,96.5%
Jacksonville Jaguars,9.0,9.0,55.5%
Carolina Panthers,9.0,9.0,6.4%
Cincinnati Bengals,8.0,8.0,19.4%
Los Angeles Chargers,8.0,8.0,30.2%
Seattle Seahawks,7.0,7.0,22.0%
Buffalo Bills,7.0,7.0,74.0%
Green Bay Packers,7.0,7.0,54.0%
Chicago Bears,6.0,6.0,3.9%
Atlanta Falcons,6.0,6.0,49.4%
Minnesota Vikings,6.0,6.0,26.2%
Pittsburgh Steelers,5.0,5.0,89.2%
Baltimore Ravens,5.0,5.0,84.7%
Kansas City Chiefs,4.0,4.0,72.9%
New Orleans Saints,4.0,4.0,60.5%
Washington Commanders,3.0,3.0,18.0%
Cleveland Browns,3.0,3.0,82.1%
Indianapolis Colts,3.0,3.0,33.2%
Houston Texans,2.0,2.0,54.5%
Denver Broncos,2.0,2.0,23.5%
Los Angeles Rams,1.0,1.0,22.6%
Tampa Bay Buccaneers,1.0,1.0,49.0%
Miami Dolphins,1.0,1.0,91.7%
Detroit Lions,-2.0,-2.0,32.8%
