"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"101","Shi Smith (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Elijah Moore (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","42.2%"
"103","Jeff Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","KhaDarel Hodge (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Nick Westbrook-Ikhine (TEN)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"106","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"107","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Romeo Doubs (GB)","0","4","0","0","0","0","0","0","0","0","0","1","0.0","0.0","48.4%"
"110","Danny Gray (SF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"111","Trent Taylor (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Corey Davis (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"113","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Michael Gallup (DAL)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","19.7%"
"115","Cedrick Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"116","Marcus Kemp (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"117","Nelson Agholor (BAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"118","Marcus Johnson (FA)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Robbie Chosen (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"120","Michael Bandy (DEN)","1","6","-5","-5.0","0","0","0","0","0","0","0","1","-0.5","-0.5","0.0%"
"121","Amari Rodgers (FA)","2","3","14","7.0","11","0","0","0","0","0","1","1","-0.6","-0.6","0.0%"
"122","Skyy Moore (KC)","0","1","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","19.5%"
""
""
