"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"44","Rachaad White (TB)","6","24","4.0","11","0","0","1","2","8","8.0","0","0","1","3.2","3.2","95.8%"
"45","Craig Reynolds (DET)","4","12","3.0","8","0","0","3","3","18","6.0","0","0","1","3.0","3.0","2.0%"
"46","Leonard Fournette (BUF)","8","19","2.4","9","0","0","2","3","7","3.5","0","0","1","2.6","2.6","4.5%"
"47","Jaylen Warren (PIT)","2","7","3.5","4","0","0","2","2","17","8.5","0","0","1","2.4","2.4","83.5%"
"48","Mike Boone (HOU)","4","23","5.8","15","0","0","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"49","Caleb Huntley (FA)","6","22","3.7","10","0","0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"50","Mark Ingram II (FA)","4","6","1.5","5","0","0","3","3","16","5.3","0","0","1","2.2","2.2","0.0%"
"51","Patrick Ricard (BAL)","1","0","0.0","0","0","0","2","2","20","10.0","0","0","1","2.0","2.0","0.1%"
"52","Rex Burkhead (FA)","2","8","4.0","4","0","0","5","6","11","2.2","0","0","1","1.9","1.9","10.0%"
"53","Chase Edmonds (TB)","7","17","2.4","9","0","0","0","2","0","0","0","0","1","1.7","1.7","1.1%"
"54","AJ Dillon (GB)","4","15","3.8","7","0","0","0","0","0","0","0","0","1","1.5","1.5","71.7%"
"55","Sony Michel (FA)","2","5","2.5","4","0","0","1","3","8","8.0","0","0","1","1.3","1.3","0.0%"
"56","Damien Harris (BUF)","3","8","2.7","4","0","0","1","2","2","2.0","0","0","1","1.0","1.0","7.2%"
"57","Ty Johnson (BUF)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","0.9","0.9","0.1%"
"58","Trestan Ebner (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"59","Samaje Perine (DEN)","1","0","0.0","0","0","0","2","2","8","4.0","0","0","1","0.8","0.8","32.8%"
"60","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","7","3.5","0","0","1","0.7","0.7","0.5%"
"61","Justice Hill (BAL)","5","26","5.2","9","0","0","0","0","0","0","0","1","1","0.6","0.6","12.4%"
"62","JaMycal Hasty (NE)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"63","Kenyan Drake (GB)","11","5","0.5","4","0","0","0","1","0","0","0","0","1","0.5","0.5","0.1%"
"64","Hassan Haskins (TEN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.1%"
"65","Avery Williams (ATL)","1","4","4.0","4","0","0","0","1","0","0","0","0","1","0.4","0.4","0.0%"
"66","J.D. McKissic (FA)","1","4","4.0","4","0","0","0","2","0","0","0","0","1","0.4","0.4","0.0%"
"67","Tyrion Davis-Price (FA)","2","4","2.0","3","0","0","0","2","0","0","0","0","1","0.4","0.4","0.1%"
"68","Dontrell Hilliard (FA)","1","4","4.0","4","0","0","0","2","0","0","0","0","1","0.4","0.4","0.0%"
"69","Deon Jackson (NYG)","2","3","1.5","4","0","0","0","0","0","0","0","0","1","0.3","0.3","1.3%"
"70","Justin Jackson (FA)","3","2","0.7","5","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"71","Zamir White (LV)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","1.3%"
"72","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"73","Chris Myarick (FA)","0","0","0","0","0","0","2","2","21","10.5","0","0","1","0.0","0.0","0.0%"
"74","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"75","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Benny Snell Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","James Robinson (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.6%"
"78","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"80","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"81","Brandon Bolden (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"82","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Derek Watt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Isaiah Spiller (LAC)","1","-5","-5.0","0","0","0","0","0","0","0","0","0","1","-0.5","-0.5","0.2%"
"86","Raheem Blackshear (CAR)","2","-5","-2.5","0","0","0","0","0","0","0","0","0","1","-0.5","-0.5","0.4%"
""
""
