"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"141","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Trent Taylor (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"143","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Kalif Raymond (DET)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"145","Justin Watson (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.4%"
"146","Ty Montgomery II (NE)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","0.2%"
"147","Chris Conley (SF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Phillip Dorsett II (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"149","Breshad Perriman (FA)","0","3","0","0","0","0","0","1","-7","0","0","1","-0.7","-0.7","0.0%"
""
""
