"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"17","Darrell Henderson Jr. (FA)","12","43","3.6","16","0","1","2","3","9","4.5","0","0","1","11.2","11.2","10.5%"
"18","Najee Harris (PIT)","14","42","3.0","14","0","0","2","3","7","3.5","1","0","1","10.9","10.9","93.6%"
"19","Travis Etienne Jr. (JAC)","10","86","8.6","48","4","0","2","2","22","11.0","0","0","1","10.8","10.8","99.9%"
"20","Devin Singletary (HOU)","17","85","5.0","14","0","0","4","5","22","5.5","0","0","1","10.7","10.7","75.5%"
"21","David Montgomery (DET)","15","67","4.5","13","0","0","1","1","13","13.0","0","0","1","8.0","8.0","95.9%"
"22","Khalil Herbert (CHI)","7","74","10.6","63","4","0","0","0","0","0","0","0","1","7.4","7.4","60.4%"
"23","Nick Chubb (CLE)","12","56","4.7","18","0","0","1","2","14","14.0","0","0","1","7.0","7.0","22.3%"
"24","Eno Benjamin (NO)","15","37","2.5","6","0","0","3","3","28","9.3","0","0","1","6.5","6.5","0.0%"
"25","Latavius Murray (BUF)","15","66","4.4","14","0","0","1","1","-2","-2.0","0","0","1","6.4","6.4","15.7%"
"26","Caleb Huntley (FA)","16","59","3.7","16","0","0","0","0","0","0","0","0","1","5.9","5.9","0.0%"
"27","Mark Ingram II (FA)","9","46","5.1","14","0","0","1","2","11","11.0","0","0","1","5.7","5.7","0.0%"
"28","James Robinson (FA)","12","54","4.5","14","0","0","1","1","1","1.0","0","0","1","5.5","5.5","0.6%"
"29","Antonio Gibson (WAS)","5","35","7.0","18","0","0","3","4","18","6.0","0","0","1","5.3","5.3","50.0%"
"30","AJ Dillon (GB)","10","41","4.1","19","0","0","4","6","11","2.8","0","0","1","5.2","5.2","71.7%"
"31","Tony Pollard (DAL)","11","44","4.0","15","0","0","2","3","8","4.0","0","0","1","5.2","5.2","99.8%"
"32","Tyler Allgeier (ATL)","15","51","3.4","8","0","0","0","0","0","0","0","0","1","5.1","5.1","46.9%"
"33","Raheem Mostert (MIA)","14","49","3.5","16","0","0","1","2","-1","-1.0","0","0","1","4.8","4.8","97.7%"
"34","Michael Carter (ARI)","6","41","6.8","25","1","0","1","1","6","6.0","0","0","1","4.7","4.7","1.5%"
"35","Aaron Jones (GB)","9","19","2.1","7","0","0","3","4","25","8.3","0","0","1","4.4","4.4","92.5%"
"36","Sony Michel (FA)","8","28","3.5","7","0","0","3","3","14","4.7","0","0","1","4.2","4.2","0.0%"
"37","Kyle Juszczyk (SF)","0","0","0","0","0","0","4","4","33","8.3","0","0","1","3.3","3.3","0.3%"
"38","Clyde Edwards-Helaire (KC)","9","33","3.7","11","0","0","0","0","0","0","0","0","1","3.3","3.3","4.5%"
"39","Phillip Lindsay (FA)","3","7","2.3","3","0","0","3","3","5","1.7","0","0","1","3.2","3.2","0.0%"
"40","Chase Edmonds (TB)","2","3","1.5","2","0","0","2","2","28","14.0","0","0","1","3.1","3.1","1.1%"
"41","Jerick McKinnon (KC)","2","1","0.5","1","0","0","3","3","29","9.7","0","0","1","3.0","3.0","23.3%"
"42","Malcolm Brown (FA)","7","15","2.1","10","0","0","1","1","13","13.0","0","0","1","2.8","2.8","0.0%"
"43","Kenneth Gainwell (PHI)","5","25","5.0","9","0","0","0","0","0","0","0","0","1","2.5","2.5","23.6%"
"44","Rachaad White (TB)","4","12","3.0","8","0","0","3","4","11","3.7","0","0","1","2.3","2.3","95.8%"
"45","J.D. McKissic (FA)","2","20","10.0","16","0","0","0","3","0","0","0","0","1","2.0","2.0","0.0%"
"46","D'Onta Foreman (CHI)","5","19","3.8","8","0","0","0","0","0","0","0","0","1","1.9","1.9","32.8%"
"47","Isiah Pacheco (KC)","2","9","4.5","5","0","0","2","2","9","4.5","0","0","1","1.8","1.8","96.5%"
"48","Reggie Gilliam (BUF)","0","0","0","0","0","0","3","3","18","6.0","0","0","1","1.8","1.8","0.0%"
"49","Samaje Perine (DEN)","2","5","2.5","5","0","0","2","2","11","5.5","0","0","1","1.6","1.6","32.8%"
"50","Boston Scott (PHI)","6","16","2.7","8","0","0","0","0","0","0","0","0","1","1.6","1.6","0.2%"
"51","J.K. Dobbins (BAL)","7","15","2.1","6","0","0","0","0","0","0","0","0","1","1.5","1.5","16.3%"
"52","Ronnie Rivers (LAR)","1","0","0.0","0","0","0","1","1","14","14.0","0","0","1","1.4","1.4","0.2%"
"53","Kareem Hunt (CLE)","4","12","3.0","9","0","0","0","1","0","0","0","0","1","1.2","1.2","55.5%"
"54","Alec Ingold (MIA)","1","2","2.0","2","0","0","2","2","10","5.0","0","0","1","1.2","1.2","0.1%"
"55","Matt Breida (NYG)","3","-6","-2.0","1","0","0","2","2","17","8.5","0","0","1","1.1","1.1","2.6%"
"56","Keith Smith (ATL)","1","2","2.0","2","0","0","1","1","8","8.0","0","0","1","1.0","1.0","0.0%"
"57","D'Ernest Johnson (JAC)","0","0","0","0","0","0","2","2","9","4.5","0","0","1","0.9","0.9","8.1%"
"58","Avery Williams (ATL)","2","6","3.0","3","0","0","1","1","2","2.0","0","0","1","0.8","0.8","0.0%"
"59","James Cook (BUF)","2","8","4.0","4","0","0","0","0","0","0","0","0","1","0.8","0.8","94.3%"
"60","Melvin Gordon III (BAL)","3","8","2.7","4","0","0","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"61","Keaontay Ingram (KC)","3","7","2.3","7","0","0","0","0","0","0","0","0","1","0.7","0.7","2.0%"
"62","Chuba Hubbard (CAR)","2","6","3.0","4","0","0","1","1","1","1.0","0","0","1","0.7","0.7","69.8%"
"63","Kevin Harris (NE)","3","5","1.7","3","0","0","0","0","0","0","0","0","1","0.5","0.5","0.1%"
"64","Jeff Wilson Jr. (MIA)","7","25","3.6","9","0","0","0","1","0","0","0","1","1","0.5","0.5","15.8%"
"65","Pierre Strong Jr. (CLE)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.8%"
"66","Mike Boone (HOU)","1","1","1.0","1","0","0","1","4","3","3.0","0","0","1","0.4","0.4","0.6%"
"67","Alexander Mattison (MIN)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","86.3%"
"68","C.J. Ham (MIN)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"69","Tevin Coleman (FA)","4","3","0.8","5","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"70","Jaylen Warren (PIT)","2","2","1.0","1","0","0","0","0","0","0","0","0","1","0.2","0.2","83.5%"
"71","DeeJay Dallas (SEA)","2","1","0.5","2","0","0","0","0","0","0","0","0","1","0.1","0.1","0.9%"
"72","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Andrew Beck (HOU)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.0","0.0","0.0%"
"74","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"75","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"77","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"78","John Lovett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Zander Horvath (FA)","0","0","0","0","0","0","1","1","0","0.0","0","0","1","0.0","0.0","0.0%"
"80","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"81","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"82","Gary Brightwell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"83","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.0%"
"84","Derek Watt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Patrick Ricard (BAL)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"86","Michael Burton (DEN)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
""
""
