"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"21","Alvin Kamara (NO)","12","42","3.5","11","0","0","4","5","47","11.8","0","0","1","8.9","8.9","98.7%"
"22","James Cook (BUF)","11","86","7.8","29","1","0","0","1","0","0","0","0","1","8.6","8.6","94.3%"
"23","Rhamondre Stevenson (NE)","15","26","1.7","5","0","0","6","6","56","9.3","0","0","1","8.2","8.2","92.9%"
"24","Aaron Jones (GB)","12","40","3.3","14","0","0","6","7","20","3.3","0","0","1","8.0","8.0","92.5%"
"25","Dontrell Hilliard (FA)","1","4","4.0","4","0","0","1","1","14","14.0","1","0","1","7.8","7.8","0.0%"
"26","Justin Jackson (FA)","9","66","7.3","27","1","0","1","1","11","11.0","0","0","1","7.7","7.7","0.0%"
"27","Dalvin Cook (NYJ)","11","72","6.5","17","0","0","0","1","0","0","0","0","1","7.2","7.2","23.9%"
"28","Melvin Gordon III (BAL)","8","31","3.9","10","0","0","5","5","39","7.8","0","0","1","7.0","7.0","0.1%"
"29","Nick Chubb (CLE)","14","19","1.4","12","0","0","3","3","48","16.0","0","0","1","6.7","6.7","22.3%"
"30","Tyler Allgeier (ATL)","8","55","6.9","26","1","0","1","1","9","9.0","0","0","1","6.4","6.4","46.9%"
"31","Joe Mixon (CIN)","7","20","2.9","7","0","0","3","3","42","14.0","0","0","1","6.2","6.2","98.6%"
"32","Cam Akers (MIN)","14","61","4.4","13","0","0","0","0","0","0","0","0","1","6.1","6.1","20.9%"
"33","Elijah Mitchell (SF)","9","59","6.6","19","0","0","0","0","0","0","0","0","1","5.9","5.9","16.9%"
"34","Brian Robinson Jr. (WAS)","15","57","3.8","14","0","0","0","0","0","0","0","0","1","5.7","5.7","89.3%"
"35","Kareem Hunt (CLE)","5","32","6.4","11","0","0","2","2","22","11.0","0","0","1","5.4","5.4","55.5%"
"36","Kenyan Drake (GB)","10","46","4.6","29","1","0","2","4","7","3.5","0","0","1","5.3","5.3","0.1%"
"37","Miles Sanders (CAR)","13","47","3.6","10","0","0","1","1","1","1.0","0","0","1","4.8","4.8","51.0%"
"38","Kyren Williams (LAR)","7","36","5.1","17","0","0","1","2","8","8.0","0","0","1","4.4","4.4","94.4%"
"39","Justice Hill (BAL)","7","30","4.3","11","0","0","3","3","8","2.7","0","0","1","3.8","3.8","12.4%"
"40","Saquon Barkley (NYG)","15","22","1.5","4","0","0","2","5","13","6.5","0","0","1","3.5","3.5","99.9%"
"41","Malik Davis (DAL)","7","13","1.9","9","0","0","2","3","22","11.0","0","0","1","3.5","3.5","0.1%"
"42","Chuba Hubbard (CAR)","4","0","0.0","2","0","0","2","3","25","12.5","0","0","1","2.5","2.5","69.8%"
"43","D'Onta Foreman (CHI)","11","24","2.2","10","0","0","0","1","0","0","0","0","1","2.4","2.4","32.8%"
"44","AJ Dillon (GB)","6","13","2.2","5","0","0","1","1","10","10.0","0","0","1","2.3","2.3","71.7%"
"45","Isaiah Spiller (LAC)","4","11","2.8","11","0","0","2","2","11","5.5","0","0","1","2.2","2.2","0.2%"
"46","Keaontay Ingram (KC)","5","19","3.8","13","0","0","0","0","0","0","0","0","1","1.9","1.9","2.0%"
"47","Michael Carter (ARI)","8","19","2.4","8","0","0","1","2","-2","-2.0","0","0","1","1.7","1.7","1.5%"
"48","Dameon Pierce (HOU)","10","8","0.8","3","0","0","2","3","9","4.5","0","0","1","1.7","1.7","68.0%"
"49","Jordan Mason (SF)","4","14","3.5","8","0","0","0","0","0","0","0","0","1","1.4","1.4","0.9%"
"50","Raheem Blackshear (CAR)","0","0","0","0","0","0","2","3","14","7.0","0","0","1","1.4","1.4","0.4%"
"51","Boston Scott (PHI)","3","8","2.7","3","0","0","2","2","4","2.0","0","0","1","1.2","1.2","0.2%"
"52","Deon Jackson (NYG)","1","7","7.0","7","0","0","4","4","3","0.8","0","0","1","1.0","1.0","1.3%"
"53","James Robinson (FA)","7","10","1.4","5","0","0","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"54","Darrell Henderson Jr. (FA)","2","9","4.5","5","0","0","0","0","0","0","0","0","1","0.9","0.9","10.5%"
"55","Jaylen Warren (PIT)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","83.5%"
"56","Clyde Edwards-Helaire (KC)","2","9","4.5","6","0","0","0","0","0","0","0","0","1","0.9","0.9","4.5%"
"57","Trestan Ebner (FA)","6","8","1.3","6","0","0","0","1","0","0","0","0","1","0.8","0.8","0.0%"
"58","Alexander Mattison (MIN)","2","0","0.0","3","0","0","1","1","8","8.0","0","0","1","0.8","0.8","86.3%"
"59","David Johnson (FA)","1","-4","-4.0","0","0","0","1","1","11","11.0","0","0","1","0.7","0.7","0.0%"
"60","Zack Moss (IND)","2","7","3.5","7","0","0","0","0","0","0","0","0","1","0.7","0.7","88.5%"
"61","Trayveon Williams (CIN)","2","7","3.5","8","0","0","0","1","0","0","0","0","1","0.7","0.7","0.7%"
"62","Chase Edmonds (TB)","2","6","3.0","4","0","0","0","0","0","0","0","0","1","0.6","0.6","1.1%"
"63","Caleb Huntley (FA)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","0.6","0.6","0.0%"
"64","Kene Nwangwu (MIN)","4","1","0.3","4","0","0","1","1","5","5.0","0","0","1","0.6","0.6","0.7%"
"65","Dare Ogunbowale (HOU)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.1%"
"66","Ameer Abdullah (LV)","0","0","0","0","0","0","3","4","5","1.7","0","0","1","0.5","0.5","0.5%"
"67","Brandon Bolden (LV)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.1%"
"68","Patrick Ricard (BAL)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"69","Jerick McKinnon (KC)","6","24","4.0","7","0","0","1","1","0","0.0","0","1","1","0.4","0.4","23.3%"
"70","Kyle Juszczyk (SF)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.3%"
"71","Ty Johnson (BUF)","4","4","1.0","7","0","0","0","1","0","0","0","0","1","0.4","0.4","0.1%"
"72","Zander Horvath (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"73","Sony Michel (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"74","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"75","Jakob Johnson (LV)","0","0","0","0","0","0","1","1","0","0.0","0","0","1","0.0","0.0","0.0%"
"76","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"77","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Pierre Strong Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"81","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"82","Jerome Ford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","86.9%"
"83","Ben Mason (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Gary Brightwell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"85","Kenneth Gainwell (PHI)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","23.6%"
"86","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"87","Jason Cabinda (DET)","0","0","0","0","0","0","0","2","0","0","0","0","1","0.0","0.0","0.0%"
"88","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"89","Mike Davis (FA)","0","0","0","0","0","0","1","1","-3","-3.0","0","0","1","-0.3","-0.3","1.0%"
"90","Nyheim Hines (BUF)","1","-8","-8.0","0","0","0","0","1","0","0","0","0","1","-0.8","-0.8","0.1%"
"91","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","1","-2.0","-2.0","0.0%"
""
""
